time_ms,signal_V
1.391993999999999971e+02,-3.212475844410478398e-03
1.392055200000000070e+02,-2.838423231776743272e-03
1.392116399999999885e+02,-3.714415351930927534e-03
1.392177599999999984e+02,-3.139925821182887322e-03
1.392238800000000083e+02,-3.045539515406342490e-03
1.392299999999999898e+02,-2.828815158456121637e-03
1.392361199999999997e+02,-3.105244186878103330e-03
1.392422399999999811e+02,-3.069791126357662714e-03
1.392483599999999910e+02,-3.341184689620080306e-03
1.392544800000000009e+02,-3.259335164542104257e-03
1.392606000000000108e+02,-3.448724917561790670e-03
1.392667200000000207e+02,-3.513156483288371046e-03
1.392728400000000022e+02,-2.880401372988256048e-03
1.392789600000000121e+02,-2.295481818456124312e-03
1.392850799999999936e+02,-3.095481828456120299e-03
1.392912000000000035e+02,-2.828815158456121637e-03
1.392973200000000134e+02,-2.569958375194164590e-03
1.393034399999999948e+02,-3.352231854933912514e-03
1.393095600000000047e+02,-3.067838654675830723e-03
1.393156799999999862e+02,-2.977203006460538148e-03
1.393217999999999961e+02,-3.178307589936452127e-03
1.393279200000000060e+02,-3.086541420774746580e-03
1.393340399999999875e+02,-3.095481828456120299e-03
1.393401599999999974e+02,-3.002739423801997765e-03
1.393462799999999788e+02,-2.683356018768318085e-03
1.393523999999999887e+02,-3.371756571776740596e-03
1.393585200000000270e+02,-3.638423241776739259e-03
1.393646400000000085e+02,-3.371756571776740596e-03
1.393707600000000184e+02,-3.139412441350603045e-03
1.393768799999999999e+02,-3.095481828456120299e-03
1.393830000000000098e+02,-3.451140245855882638e-03
1.393891199999999913e+02,-2.969547405293787579e-03
1.393952400000000011e+02,-2.972476112809985249e-03
1.394013600000000110e+02,-2.648211528341715137e-03
1.394074799999999925e+02,-2.890472301867202942e-03
1.394136000000000024e+02,-2.656329985485150758e-03
1.394197199999999839e+02,-2.856149762033521888e-03
1.394258399999999938e+02,-3.887363381515351879e-03
1.394319600000000037e+02,-3.177485639193594613e-03
1.394380799999999851e+02,-2.946272030493135574e-03
1.394441999999999950e+02,-2.723535973643304020e-03
1.394503199999999765e+02,-3.239142782808707155e-03
1.394564399999999864e+02,-2.843612981662774208e-03
1.394625600000000247e+02,-2.809599012850855226e-03
1.394686800000000062e+02,-2.614197559326320031e-03
1.394748000000000161e+02,-3.041943143274883354e-03
1.394809199999999976e+02,-2.842791031420266457e-03
1.394870400000000075e+02,-3.340671309970677516e-03
1.394931600000000174e+02,-3.123946953871248322e-03
1.394992799999999988e+02,-3.085873756171503279e-03
1.395054000000000087e+02,-3.085873756171503279e-03
1.395115199999999902e+02,-3.352540426171501942e-03
1.395176400000000001e+02,-3.223677295011634358e-03
1.395237600000000100e+02,-3.279322737631679141e-03
1.395298799999999915e+02,-3.287954574733797930e-03
1.395360000000000014e+02,-3.258821785326465603e-03
1.395421199999999828e+02,-2.799990939530233591e-03
1.395482399999999927e+02,-2.533324269530234929e-03
1.395543599999999742e+02,-2.774454522533109646e-03
1.395604799999999841e+02,-2.915341054804454490e-03
1.395666000000000224e+02,-3.349766004086096594e-03
1.395727200000000039e+02,-3.085873756171503279e-03
1.395788400000000138e+02,-3.223831580603131464e-03
1.395849599999999953e+02,-3.265964007067218011e-03
1.395910800000000052e+02,-3.686721654378138924e-03
1.395972000000000151e+02,-3.619207096171500604e-03
1.396033199999999965e+02,-3.285180153149297455e-03
1.396094400000000064e+02,-2.538359734856859840e-03
1.396155599999999879e+02,-2.257049527245619247e-03
1.396216799999999978e+02,-3.007107223384042349e-03
1.396278000000000077e+02,-2.989380692901916214e-03
1.396339199999999892e+02,-3.180877203058679603e-03
1.396400399999999991e+02,-3.468044825743643589e-03
